player_name,year,rounds,measured_rounds,avg_off_tee,avg_approach,avg_around,avg_putting
Marco Dawson,2005,82,79,0.142,-0.092,0.255,-0.06
Matt Davidson,2005,53,50,-0.301,-0.837,0.054,-0.062
Harrison Frazar,2005,105,94,0.489,0.21,-0.234,-0.063
Kevin Stadler,2005,96,83,0.11,-0.189,-0.4,-0.064
Scott Verplank,2005,87,66,0.246,0.593,0.203,-0.067
Stuart Appleby,2005,84,63,0.41,0.206,0.168,-0.072
Tim Petrovic,2005,97,80,-0.24,0.268,0.098,-0.075
Carlos Franco,2005,78,67,0.025,0.368,0.084,-0.076
Heath Slocum,2005,103,90,0.119,0.459,0.007,-0.077
Billy Mayfair,2005,114,102,0.409,0.304,0.271,-0.08
Brian Bateman,2005,98,86,-0.034,0.179,-0.07,-0.097
Ben Curtis,2005,65,50,-0.337,-0.269,-0.251,-0.101
Lucas Glover,2005,88,79,0.541,0.25,-0.169,-0.101
Chris Anderson,2005,66,58,-0.276,-0.373,-0.076,-0.106
Skip Kendall,2005,80,71,0.041,-0.448,-0.061,-0.106
John Rollins,2005,97,83,0.551,-0.031,0.028,-0.126
Jeff Maggert,2005,79,60,0.297,0.403,-0.193,-0.133
Franklin Langham,2005,91,77,-0.438,-0.025,0.234,-0.138
Danny Briggs,2005,70,62,-0.229,-0.407,0.009,-0.146
Charles Warren,2005,89,81,0.708,-0.077,-0.352,-0.146
Neal Lancaster,2005,95,86,0.135,-0.05,-0.005,-0.158
Jay Williamson,2005,53,47,0.319,-0.211,0.156,-0.158
Justin Bolli,2005,65,59,-0.118,-0.351,-0.026,-0.161
Jonathan Kaye,2005,77,64,0.34,0.155,0.01,-0.164
Peter Lonard,2005,85,66,0.162,0.198,0.037,-0.164
Kenny Perry,2005,82,60,0.949,0.898,-0.012,-0.164
Steve Allan,2005,102,89,-0.044,-0.392,0.095,-0.165
Tom Gillis,2005,77,69,0.152,-0.365,-0.237,-0.17
Bill Glasson,2005,54,44,-0.462,-0.107,-0.092,-0.17
Mike Weir,2005,71,47,-0.066,-0.346,0.521,-0.171
Jeff Hart,2005,63,58,-0.477,-0.218,0.178,-0.176
Tim Clark,2005,92,65,0.052,0.608,0.188,-0.177
Woody Austin,2005,100,91,0.126,0.49,0.2,-0.178
Brendan Jones,2005,81,73,0.003,0.063,-0.161,-0.184
Vaughn Taylor,2005,99,90,0.176,0.312,0.07,-0.195
Robert Allenby,2005,95,73,0.345,0.705,-0.17,-0.207
John Huston,2005,90,80,0.1,0.291,-0.243,-0.214
Mark Hensby,2005,70,50,0.055,-0.322,-0.179,-0.228
J.J. Henry,2005,102,87,0.316,0.371,-0.047,-0.245
Justin Rose,2005,99,89,0.342,0.399,0.223,-0.245
Tommy Armour III,2005,103,92,0.268,0.378,-0.117,-0.246
Ted Purdy,2005,122,100,0.352,0.034,-0.011,-0.249
Glen Hnatiuk,2005,59,51,-0.213,0.144,0.13,-0.25
Doug Barron,2005,70,65,-0.056,0.222,0.119,-0.254
Mathias Grönberg,2005,60,56,0.529,0.02,0.043,-0.254
Sergio Garcia,2005,73,52,1.003,0.522,0.248,-0.26
Paul Claxton,2005,79,66,-0.119,-0.204,0.071,-0.266
Craig Barlow,2005,81,64,0.041,0.425,0.014,-0.27
Frank Lickliter II,2005,100,86,0.075,0.058,-0.051,-0.278
Michael Long,2005,72,64,-0.011,-0.362,0.099,-0.294
José Coceres,2005,56,53,-0.049,-0.538,0.021,-0.306
Ryuji Imada,2005,78,67,0.142,-0.008,0.17,-0.308
Chris Smith,2005,93,86,0.376,-0.109,-0.223,-0.309
D.J. Trahan,2005,81,71,0.551,0.203,0.003,-0.313
John Daly,2005,78,56,0.192,-0.113,-0.106,-0.324
Tom Lehman,2005,69,50,0.067,0.476,0.037,-0.332
Andrew Magee,2005,82,71,-0.327,-0.028,0.096,-0.332
Joey Sindelar,2005,104,99,0.29,0.532,-0.172,-0.335
Mark Brooks,2005,72,63,-0.372,-0.733,0.226,-0.357
Omar Uresti,2005,84,74,0.114,0.294,0.231,-0.37
Chris Riley,2005,67,43,-0.074,-0.919,0.208,-0.383
Brian Davis,2005,75,64,0.488,0.592,0.04,-0.384
Lee Westwood,2005,50,33,0.702,0.089,-0.395,-0.387
Greg Owen,2005,84,71,0.441,0.386,-0.008,-0.389
Rich Beem,2005,66,48,-0.049,-0.227,0.068,-0.4
Paul Gow,2005,78,68,-0.328,-0.162,0.285,-0.402
D.A. Points,2005,94,83,0.191,0.124,-0.254,-0.403
Dennis Paulson,2005,63,57,0.174,-0.683,0.014,-0.427
Rocco Mediate,2005,73,66,0.168,0.436,0.069,-0.439
Brett Wetterich,2005,76,68,0.737,0.122,-0.386,-0.44
Robert Damron,2005,89,80,0.016,-0.011,0.128,-0.45
Will MacKenzie,2005,75,68,-0.016,-0.085,-0.007,-0.454
Steve Jones,2005,56,46,-0.013,-0.035,-0.126,-0.464
Scott Hend,2005,75,65,0.173,-0.315,-0.215,-0.483
Bradley Hughes,2005,52,49,0.298,0.036,-0.613,-0.527
Fred Couples,2005,72,44,0.499,0.629,-0.03,-0.546
Roland Thatcher,2005,75,68,0.422,-0.054,-0.272,-0.581
Hideto Tanihara,2005,50,45,-0.247,-0.419,0.045,-0.586
Jim Carter,2005,62,55,-0.247,-0.294,0.125,-0.599
Alex Cejka,2005,84,70,0.012,0.761,0.08,-0.599
Craig Perks,2005,67,59,-0.824,0.239,-0.173,-0.645
D.J. Brigman,2005,76,62,0.117,-0.177,-0.169,-0.715
David Hearn,2005,68,61,0.564,0.139,0,-0.763
Joe Durant,2005,81,69,0.562,0.523,0.028,-0.782
Thomas Levet,2005,54,36,-0.572,0.117,0.072,-0.849
Ben Crane,2006,85,61,-0.233,-0.408,0.272,0.849
Stewart Cink,2006,93,73,-0.139,0.759,-0.063,0.789
Rod Pampling,2006,89,65,0.046,-0.317,0.435,0.759
Jim Furyk,2006,89,68,0.475,1.085,0.245,0.743
Brad Faxon,2006,78,73,-0.903,-0.02,-0.182,0.726
Richard Johnson,2006,94,85,-0.024,-0.038,-0.055,0.725
Jesper Parnevik,2006,84,73,0.259,0.006,0.086,0.699
Dean Wilson,2006,115,93,-0.344,-0.007,0.182,0.661
Brett Quigley,2006,109,94,0.025,0.372,0.209,0.642
David Howell,2006,52,30,0.185,-0.018,-0.093,0.637
Steve Stricker,2006,64,52,0.006,0.398,0.472,0.614
Aaron Baddeley,2006,78,68,-0.106,-0.607,0.196,0.595
Daniel Chopra,2006,110,90,0.032,-0.253,0.111,0.585
Nathan Green,2006,108,94,-0.239,-0.05,0.134,0.577
Len Mattiace,2006,59,52,-0.449,-0.879,-0.145,0.556
Brian Gay,2006,107,100,-0.283,0.196,0.151,0.548
Tom Pernice Jr.,2006,108,87,0.068,0.045,0.293,0.541
Luke Donald,2006,66,43,0.074,0.931,0.509,0.532
Geoff Ogilvy,2006,76,52,0.137,0.127,0.188,0.473
Stephen Ames,2006,63,44,0.06,0.763,-0.079,0.462
Tiger Woods,2006,55,37,0.803,2.072,0.107,0.461
Michael Allen,2006,84,72,-0.282,-0.232,0.186,0.414
